no,tema,jumlah_data,subtema,sumber_data,tanggal_wawancara,ringkasan_temuan
1,Peningkatan Kesadaran Metakognitif,4,Kesadaran strategi berbicara; Self-monitoring; Identifikasi kelemahan; Perencanaan berbicara,"Dosen (1), Mahasiswa (3)",2026-03-18; 2026-03-20; 2026-02-25,"Wawancara menunjukkan bahwa media membantu mahasiswa menyadari perlunya strategi, perencanaan, pemantauan tempo/intonasi, dan identifikasi kelemahan sebelum atau selama berbicara. Dosen juga melihat sebagian mahasiswa mulai memahami bahwa kegiatan berbicara memerlukan persiapan."
2,Kemudahan Akses dan Fleksibilitas,2,Belajar mandiri; Durasi konten,Mahasiswa (2),2026-03-20; 2026-03-21,"Mahasiswa menilai media mudah diakses secara mandiri, dapat diputar ulang, dan memiliki durasi konten yang relatif sesuai. Fleksibilitas ini mendorong keterlibatan belajar di luar jadwal kelas."
3,Peningkatan Kepercayaan Diri,2,Pengurangan kecemasan; Penguasaan materi,Mahasiswa (2),2026-03-21; 2026-03-25,"Latihan berulang dan penguasaan materi melalui media berkontribusi pada rasa lebih tenang, berkurangnya kecemasan berbicara, dan meningkatnya keyakinan ketika menyampaikan materi."
4,Pengorganisasian Ide Terstruktur,2,Kerangka berpikir; Urutan penyampaian,Mahasiswa (2),2026-03-25; 2026-03-26,"Media membantu mahasiswa menyusun kerangka sebelum berbicara, terutama pada pembukaan, isi, dan penutup. Namun, terdapat mahasiswa yang masih kesulitan mentransfer konsep urutan penyampaian ke praktik nyata."
5,Refleksi dan Evaluasi Diri,3,Fitur playback; Perbaikan iteratif; Kesadaran kesalahan,Mahasiswa (3),2026-03-26; 2026-03-27,"Fitur playback, rekaman, umpan balik, dan latihan berulang mendorong mahasiswa menilai kembali performa berbicaranya. Proses ini tampak pada kesadaran kesalahan, revisi bertahap, dan perbaikan cara menyampaikan pesan."
6,Keterlibatan Mahasiswa,3,Pemanfaatan media; Kendala login dan progres; Penggunaan media pada kelas kontrol,Dosen (3),2026-02-25; tidak disebutkan,"Dosen melihat keterlibatan mahasiswa kelas eksperimen cukup baik, meskipun kendala perangkat dan login membuat sebagian progres tidak tercatat. Pada kelas kontrol, penggunaan media bersifat sukarela dan hanya dilakukan oleh sebagian kecil mahasiswa."
7,Efektivitas Media,3,Akses rutin dan kebaruan materi; Latihan dan poin; Dampak terbatas pada pengguna sukarela,Dosen (3),2026-02-25; tidak disebutkan,"Media dipandang efektif sebagai pendamping pembelajaran karena menyediakan akses rutin, latihan antarseksi, dan dorongan penyelesaian melalui poin. Efeknya paling terlihat pada mahasiswa yang menggunakan media secara konsisten."
8,Fleksibilitas Penggunaan,1,Kebutuhan tempat rekaman,Dosen (1),2026-02-25,"Fitur rekaman memberi ruang latihan, tetapi menuntut kondisi lingkungan yang sepi agar hasil rekaman jelas. Sebagian mahasiswa kemudian melanjutkan penggunaan media dari rumah."
9,Tantangan Penerapan,3,Kesiapan dosen menggunakan fitur penilaian; Beban umpan balik; Akses fitur dari ponsel,Dosen (3),2026-02-25; tidak disebutkan,"Kendala penerapan mencakup adaptasi dosen terhadap fitur penilaian digital, beban menjawab pertanyaan mahasiswa, akses fitur dari ponsel, serta kebutuhan alur kerja yang lebih ringkas."
10,Saran Pengembangan,2,Otomatisasi penilaian dan mode offline; Simpan otomatis penilaian,Dosen (2),2026-02-25; tidak disebutkan,"Saran utama dosen mengarah pada penilaian otomatis berbantuan AI, mode offline, kemudahan akses mobile, dan fitur simpan otomatis untuk mengurangi beban teknis."
11,Karakteristik Belajar Mahasiswa,2,Ketergantungan pada gawai dan rendahnya minat baca; Pemanfaatan sumber bebas dan AI,Dosen (2),tidak disebutkan,"Kelas kontrol cenderung menggunakan sumber bebas, bergantung pada gawai, dan memiliki minat baca yang rendah. Kondisi ini membuat kualitas persiapan belajar tidak seragam."
12,Perbandingan Pembelajaran,1,Kontrol dengan PBL reguler,Dosen (1),tidak disebutkan,"Pembelajaran kelas kontrol berlangsung dengan PBL reguler dan sumber belajar yang lebih bebas, sedangkan kelas eksperimen memiliki tuntutan penyelesaian modul yang lebih terarah."
13,Keterampilan Berbicara,1,Kebahasaan dan kesantunan,Dosen (1),tidak disebutkan,"Dosen menyoroti aspek kebahasaan dan kesantunan sebagai bagian yang masih perlu dibenahi, terutama penggunaan ragam bahasa formal dalam situasi akademik."
