"kode_pasangan","jenis_data","domain","istilah_asing","padanan_indonesia","tipe_padanan","referen_ringkas","konteks_penggunaan_direkomendasikan","jenis_framing_utama","jenis_framing_sekunder","hipotesis_label_asing","hipotesis_label_indonesia","kesetaraan_referensial_awal_1_5","kejelasan_padanan_awal_1_5","potensi_perbedaan_konotasi_1_5","kelayakan_stimulus_awal_1_5","status_seleksi","alasan_status","contoh_stimulus_asing","contoh_stimulus_indonesia","judul_sumber_bukti","jenis_sumber","url_bukti","tanggal_akses","jumlah_platform_ditemukan","jumlah_produk_atau_unggahan","jumlah_toko_atau_akun","bukti_transaksi_0_3","tren_pencarian_0_3","rerata_kesepadanan_responden_1_7","rerata_keakraban_asing_1_7","rerata_keakraban_indonesia_1_7","rerata_valensi_asing_1_7","rerata_valensi_indonesia_1_7","catatan_peneliti"
"FL-001","kandidat_prariset_heuristik_bukan_hasil_responden","Lingkungan dan pertanian","maggot","belatung","terjemahan langsung dalam konteks larva BSF","larva lalat, khususnya Black Soldier Fly, yang dimanfaatkan untuk biokonversi dan pakan","pengolahan sampah organik, pakan ternak, pupuk","higienitas dan rasa jijik","teknologi dan profesionalisasi","lebih teknis, modern, bermanfaat, dan kurang menjijikkan","lebih akrab, sensoris, dan kuat memicu pembusukan atau rasa jijik","5","5","5","5","prioritas_utama","Referen sangat dekat dan kontras emosional diperkirakan kuat.","Produk pakan ini menggunakan maggot sebagai sumber protein alternatif.","Produk pakan ini menggunakan belatung sebagai sumber protein alternatif.","Apresiasi Kelola Sampah Organik dengan Maggot Lalat Tentara Hitam","situs pemerintah","https://www.kemenkopmk.go.id/apresiasi-kelola-sampah-organik-dengan-maggot-lalat-tentara-hitam","2026-07-28","","","","","","","","","","","Kontrol pengetahuan responden tentang BSF karena tidak semua belatung identik dengan maggot BSF."
"FL-002","kandidat_prariset_heuristik_bukan_hasil_responden","Fesyen dan barang konsumsi","pre-loved","barang bekas","padanan fungsional","barang yang pernah dimiliki atau digunakan lalu dijual kembali","tas, pakaian, sepatu, aksesori","eufemisme komersial","premiumisasi dan prestise","lebih terawat, bernilai, layak pakai, dan berkelas","lebih usang, murah, berisiko, dan kurang prestisius","5","5","5","5","prioritas_utama","Sangat relevan untuk niat membeli, kualitas, dan estimasi harga.","Toko ini menjual tas pre-loved yang telah diseleksi.","Toko ini menjual tas bekas yang telah diseleksi.","Awas Salah, Ini Arti Preloved yang Perlu Anda Pahami","situs institusi keuangan","https://www.cimbniaga.co.id/id/inspirasi/gayahidup/arti-preloved","2026-07-28","","","","","","","","","","","Tentukan apakah barang pernah dipakai atau hanya pernah dimiliki agar referen tetap setara."
"FL-003","kandidat_prariset_heuristik_bukan_hasil_responden","Fesyen","thrifting","membeli pakaian bekas","padanan deskriptif","aktivitas mencari atau membeli pakaian bekas yang masih layak","tren belanja, fesyen berkelanjutan, toko pakaian bekas","gaya hidup dan modernitas","stigma ekonomi dan keberlanjutan","lebih trendi, hemat, berkelanjutan, dan berorientasi gaya","lebih langsung, ekonomis, dan dapat memicu stigma keterbatasan daya beli","3","4","5","4","perlu_validasi_ketat","Thrifting dapat mencakup pengalaman mencari, memilih, dan budaya belanja, bukan hanya tindakan membeli.","Kampanye ini mengajak konsumen melakukan thrifting untuk mengurangi limbah tekstil.","Kampanye ini mengajak konsumen membeli pakaian bekas untuk mengurangi limbah tekstil.","Awas Thrifting Ilegal","situs pemerintah","https://www.pajak.go.id/id/artikel/awas-thrifting-ilegal","2026-07-28","","","","","","","","","","","Gunakan stimulus tindakan, bukan label produk, dan kendalikan isu pakaian bekas impor ilegal."
"FL-004","kandidat_prariset_heuristik_bukan_hasil_responden","Kuliner","frozen food","makanan beku","terjemahan langsung","produk pangan yang diawetkan dan disimpan dalam keadaan beku","produk siap olah, penyimpanan pangan, kebutuhan keluarga","kepraktisan dan modernitas","kesegaran dan keamanan","lebih praktis, modern, siap olah, dan komersial","lebih literal, tersimpan lama, dan berpotensi dipersepsikan kurang segar","5","5","4","5","prioritas_utama","Padanan sangat jelas dan mudah diterapkan pada stimulus produk.","Toko ini menyediakan frozen food untuk kebutuhan keluarga.","Toko ini menyediakan makanan beku untuk kebutuhan keluarga.","Kategori Frozen Food berdasarkan Suhu","situs perusahaan","https://www.intermitra.id/blog/Kategori-Frozen-Food-berdasarkan-Suhu","2026-07-28","","","","","","","","","","","Gunakan gambar produk identik dan hindari merek terkenal."
"FL-005","kandidat_prariset_heuristik_bukan_hasil_responden","Kecantikan dan perawatan diri","skincare","perawatan kulit","terjemahan langsung","produk atau rutinitas untuk merawat kesehatan dan penampilan kulit","rutinitas harian, produk kecantikan, promosi kosmetik","modernitas dan profesionalisasi","prestise dan teknologi","lebih modern, ilmiah, terstruktur, dan terkait industri kecantikan","lebih umum, akrab, dan kurang berorientasi merek","5","5","4","5","prioritas_utama","Istilah sangat dikenal dan mudah diuji pada produk yang sama.","Produk ini dirancang sebagai skincare harian untuk kulit kering.","Produk ini dirancang sebagai perawatan kulit harian untuk kulit kering.","Mengenal Arti Skincare dan Tahapan Merawat Kulit","media daring","https://tirto.id/mengenal-arti-skincare-dan-tahapan-merawat-kulit-eimA","2026-07-28","","","","","","","","","","","Ukur intensitas penggunaan produk kecantikan sebagai moderator."
"FL-006","kandidat_prariset_heuristik_bukan_hasil_responden","Kuliner dan jasa","coffee shop","kedai kopi","padanan fungsional","tempat usaha yang terutama menjual kopi dan minuman terkait","nama tempat, deskripsi usaha, iklan lokasi","globalitas dan modernitas","kelas sosial dan keakraban","lebih modern, estetik, profesional, dan layak diberi harga tinggi","lebih lokal, akrab, sederhana, dan terjangkau","4","5","5","5","prioritas_utama","Kontras citra ruang dan harga diperkirakan kuat, tetapi fasilitas harus dikontrol.","Usaha ini beroperasi sebagai coffee shop di pusat kota.","Usaha ini beroperasi sebagai kedai kopi di pusat kota.","3 Jenis Kopi yang Umum Ada di Coffee Shop di Indonesia","media daring","https://www.kompas.com/food/read/2021/09/10/203218675/3-jenis-kopi-yang-umum-ada-di-coffee-shop-di-indonesia-apa-saja","2026-07-28","","","","","","","","","","","Jangan memakai warung kopi sebagai padanan utama karena prototipe fasilitas dapat terlalu berbeda."
"FL-007","kandidat_prariset_heuristik_bukan_hasil_responden","Kuliner","dessert","makanan penutup","terjemahan langsung","hidangan yang disajikan setelah hidangan utama","menu restoran, katalog makanan, promosi","premiumisasi","globalitas dan keakraban","lebih premium, estetik, modern, dan cocok untuk menu kafe","lebih informatif, umum, dan kurang bermerek","5","5","4","5","prioritas_utama","Referen sangat setara dan mudah diterapkan pada menu identik.","Restoran ini menawarkan dessert berbahan buah lokal.","Restoran ini menawarkan makanan penutup berbahan buah lokal.","Awal Mula Kemunculan Hidangan Penutup","media sejarah dan budaya","https://www.historia.id/article/awal-mula-kemunculan-hidangan-penutup-vy8om","2026-07-28","","","","","","","","","","","Kontrol jenis makanan karena tidak semua makanan manis diprototipkan sebagai hidangan penutup."
"FL-008","kandidat_prariset_heuristik_bukan_hasil_responden","Kuliner","ready to eat","siap santap","terjemahan langsung","makanan yang dapat langsung dikonsumsi tanpa proses memasak tambahan","kemasan makanan, katering, produk perjalanan","kepraktisan","modernitas","lebih teknis, komersial, dan praktis","lebih jelas, akrab, dan mudah dipahami","5","5","3","5","layak_uji_awal","Referen kuat, tetapi perbedaan konotasi mungkin lebih kecil daripada pasangan lain.","Produk ini merupakan lauk ready to eat untuk perjalanan.","Produk ini merupakan lauk siap santap untuk perjalanan.","i-meal, Makanan Lauk Siap Santap","situs produk","https://imeal.id/","2026-07-28","","","","","","","","","","","Ukur pemahaman responden atas singkatan RTE bila digunakan."
"FL-009","kandidat_prariset_heuristik_bukan_hasil_responden","Kuliner","seafood","makanan laut","terjemahan langsung","bahan atau hidangan yang berasal dari hewan laut","menu restoran, promosi produk laut, katalog","globalitas","keakraban dan kesegaran","lebih lazim sebagai kategori restoran dan lebih komersial","lebih literal, lokal, dan dapat mengaktifkan citra laut secara langsung","5","5","3","5","layak_uji_awal","Sangat setara, tetapi efek framing mungkin moderat karena kedua istilah sama-sama lazim.","Restoran ini menyajikan seafood segar setiap hari.","Restoran ini menyajikan makanan laut segar setiap hari.","Doyan Seafood? Ini Jenis Seafood Paling Sehat dan Tidak","media daring","https://food.detik.com/info-sehat/d-7970690/doyan-seafood-ini-jenis-seafood-paling-sehat-dan-tidak","2026-07-28","","","","","","","","","","","Pertimbangkan hasil laut sebagai padanan alternatif, tetapi cakupan semantiknya dapat berbeda."
"FL-010","kandidat_prariset_heuristik_bukan_hasil_responden","Kerajinan dan fesyen","handmade","buatan tangan","terjemahan langsung","produk yang dibuat terutama dengan keterampilan tangan, bukan produksi massal otomatis","kerajinan, aksesori, produk kulit, hadiah","premiumisasi","keaslian dan tradisionalitas","lebih premium, artistik, unik, dan cocok untuk merek modern","lebih lokal, jujur, tradisional, dan dekat dengan pengrajin","5","5","4","5","prioritas_utama","Cocok untuk menguji kualitas, keaslian, dan kewajaran harga.","Dompet ini merupakan produk handmade dari kulit asli.","Dompet ini merupakan produk buatan tangan dari kulit asli.","Jayuwan Dompet Pria JYB05 Kulit Asli Handmade","situs produk","https://jayuwan.id/product/dompet-pria-jyb05","2026-07-28","","","","","","","","","","","Pastikan produksi benar-benar sama dan tidak memunculkan informasi tambahan tentang asal pengrajin."
